ID,Taxon,Family,Overwintering_stage,,,,Overwintering_location,,,,,,,Voltinism,,,,,Pupal_location,,,,,,Ant_association,,,Forewing_length,,,,,,,,,,,,,,,,Wingspan,,,,,,,,Hostplant_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hostplant_specificity,,,,Hostplant_type,,,,Hostplant_growth_form,,,,,,Hostplant_part,,,,Hostplant_age,,Larval_environment,,,,,,Hostplant_patch_size,,,Egg_laying_type,,,Egg_laying_location,,,,,,,Egg_lay_light_environment,,,Flight_months,,,,,,,,,,,,Adult_feeding,,,,,,,,,Adult_roosting,,,,,,,,,,,,,,Mate_locating_type,,,,Mate_locating_location,,,,,,,,,,,,Basking_type,,,Basking_site,,,,,,,,,,,,
database_ID,Taxa name,Family,OvS_egg_E,OvS_larva_L,OvS_pupa_P,OvS_adult_A,OvL_buried_Bu,OvL_surface_Su,OvL_short_sward_Ss,OvL_tall_sward_Ts,OvL_shrub_Sb,OvL_tree_Tr,OvL_liana_Li,Vol_biennial_0.5,Vol_univoltine_1,Vol_uni+partial2_1.5,Vol_bivoltine_2,Vol_multivoltine_3,PuL_buried_Bu,PuL_groundlayer_Gl,PuL_fieldlayer_Gl,PuL_shrub_layer_Sl,PuL_canopy_layer_Cl,PuL_attended_At,AnA_monospecific_M,AnA_oligospecific_O,AnA_polyspecific_P,FoL_var_male_min,FoL_var_male_max,FoL_var_male_average,FoL_var_male_variation,FoL_var_female_min,FoL_var_female_max,FoL_var_female_average,FoL_var_female_variation,FoL_HR_min,FoL_HR_max,FoL_HR_average,FoL_HR_variation,FoL_Ten_min,FoL_Ten_max,FoL_Ten_average,FoL_Ten_variation,WSp_Ts_male_min,WSp_Ts_male_max,WSp_Ts_male_average,WSp_Ts_male_variation,WSp_Ts_female_min,WSp_Ts_female_max,WSp_Ts_female_average,WSp_Ts_female_variation,HPF_Adoxacee,HPF_Amaranthaceae,HPF_Apiaceae,HPF_Apocynaceae,HPF_Aquifoliaceae,HPF_Araliaceae,HPF_Arecaceae,HPF_Aristolochiaceae,HPF_Asteraceae,HPF_Berberidaceae,HPF_Betulaceae,HPF_Boraginaceae,HPF_Brassicaceae,HPF_Cannabaceae,HPF_Capparaceae,HPF_Caprifoliaceae,HPF_Celastraceae,HPF_Cistaceae,HPF_Cleomaceae,HPF_Convolvulaceae,HPF_Coriariaceae,HPF_Cornaceae,HPF_Crassulaceae,HPF_Cyperaceae,HPF_Elaeagnaceae,HPF_Ericaceae,HPF_Escalloniaceae,HPF_Fabaceae,HPF_Fagaceae,HPF_Gentianaceae,HPF_Geraniaceae,HPF_Graminaceae,HPF_Grossulariaceae,HPF_Juncaceae,HPF_Lamiaceae,HPF_Lauraceae,HPF_Leguminosae,HPF_Lythraceae,HPF_Malpighiaceae,HPF_Malvaceae,HPF_Mimosaceae,HPF_Moraceae,HPF_Oleaceae,HPF_Orobanchaceae,HPF_Papaveraceae,HPF_Phyllanthaceae,HPF_Plantaginaceae,HPF_Plumbaginaceae,HPF_Poaceae,HPF_Polygonaceae,HPF_Portulacaceae,HPF_Primulaceae,HPF_Punicaceae,HPF_Ranunculaceae,HPF_Resedaceae,HPF_Rhamnaceae,HPF_Rosaceae,HPF_Rutaceae,HPF_Salicaceae,HPF_Santalaceae,HPF_Saxifragaceae,HPF_Scrophulariaceae,HPF_Solanaceae,HPF_Talinaceae,HPF_Tropaeolaceae,HPF_Ulmaceae,HPF_Urticaceae,HPF_Violaceae,HPF_Zygophyllaceae,HPS_monophage,HPS_oligophag (within one genus),HPS_oligophag (within one family ),HPS_polyphag,HPT_biennial_Bi,HPT_annual_An,HPT_herbaceaous perennial_Hp,HPT_woody perennial_Wp,HPG_short herb_grass_Sh,HPG_tall herb (over 30cm height)_Th,HPG_shrub_Sb,HPG_tree_Tr,HPG_non plant_Np,HPG_liana_Li,HPP_flowers_pod_Fl,HPP_leaf_Le,HPP_bud_Bu,HPP_stem_St,HPA_small_immature_Si,HPA_old_Ol,LEv_buried_Bu,LEv_groundlayer_Gl,LEv_fieldlayer_Fl,LEv_shrublayer_Sl,LEv_canopy layer_Cl,LEv_Attended_At,HPPS_large patch_Lp,HPPS_medium patch_Mp,HPPS_small/single_Ss,ELT_single_Se,ELT_small batch_Sb,ELT_large batch_Lb,ELL_bare ground or ground artifact_ Bg,ELL_short turf_herbs_Sh,ELL_tall_mature herbs_Th,ELL_shrub_Sb,ELL_tree trunk_Tt,ELL_canopy_Ca,ELL_liana_Li,ELA_light_Li,ELA_partial shade_Ps,ELA_shade_Sh,FMo_Jan,FMo_Feb,FMo_Mar,FMo_Apr,FMo_May,FMo_Jun,FMo_Jul,FMo_Aug,FMo_Sep,FMo_Oct,FMo_Nov,FMo_Dec,AdF_herb/flower_Hf,AdF_ergot_Er,AdF_shrub/tree flower_Sf,AdF_honeydew_Hd,AdF_sap_Sa,AdF_decaying plants_Dp,AdF_animal_An,AdF_mineral_Mi,AdF_hostplant coincidence_Hc,AdR_Bare ground_Bg,AdR_tree trunk/fence,AdR_short turf_St,AdR_grasses,AdR_short herb,AdR_tall herb,AdR_shrub,AdR_tree canopy,AdR_liana,AdR_exposed,AdR_communal,AdR_on hostplant,AdR_off hostplant,AdR_Manmade structure,MLT_patrolling_Pa,MLT_perching_Pn,MLT_territorial perching_Pt,MLT_lekking_Le,MLL_rock or cliff_Rc,MLL_bare earth_Be,MLL_short herbs_Sh,MLL_grass_Gr,MLL_tall herbs_Th,MLL_shrubs_Sb,MLL_tree canopy_Tc,MLL_nectar site_Ns,MLL_hostplant site_Hs,MLL_physical edge site_Ps,MLL_light edge site_Ls,MLL_hilltop_Ht,BaT_dorsalabsorb_Da,BaT_doesalreflect_Dr,BaT_lateral_La,BaS_rock\bare earth_Bg,BaS_short herb_Sh,BaS_grasses_Gr,BaS_tall herbs_Th,BaS_shrub_Sb,BaS_tree canopy_Tc,BaS_Manmade structure_Ms,,,,,,
1,Iphiclides_podalirius,Papilionidae,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,32,46,39,0.359,32,46,39,0.36,32,40,36,0.222,NA,NA,NA,NA,60,80,70,0.286,64,90,77,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,
2,Iphiclides_feisthamelii,Papilionidae,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,30.78,40.5,35.64,0.273,36.25,46,41.125,0.24,35,42,38.5,0.182,35,40,37.5,0.133,60,80,70,0.286,64,90,77,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,,,,,,
3,Papilio_alexanor,Papilionidae,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,31,35,33,0.121,31,35,33,0.12,31,33,32,0.063,NA,NA,NA,NA,62,66,64,0.063,62,66,64,0.063,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,NA,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,,,,,,
4,Papilio_machaon,Papilionidae,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,32,45,38.5,0.338,32,47,39.5,0.38,32,38,35,0.171,36,39,37.5,0.080,60,80,70,0.286,60,90,75,0.400,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,,,,,,
5,Papilio_hospiton,Papilionidae,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,34,40,37,0.162,34,40,37,0.16,36,38,37,0.054,NA,NA,NA,NA,58,66,62,0.129,58,68,63,0.159,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,,,,,,
6,Papilio_saharae,Papilionidae,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,34,33,0.061,60,90,75,0.400,60,90,75,0.400,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,,,,,,
7,Parnassius_mnemosyne,Papilionidae,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,25,40,32.5,0.462,25,40,32.5,0.46,26,31,28.5,0.175,NA,NA,NA,NA,50,62,56,0.214,52,64,58,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,,,,,,
8,Parnassius_phoebus,Papilionidae,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,30,35,32.5,0.154,30,35,32.5,0.15,30,33,31.5,0.095,NA,NA,NA,NA,60,80,70,0.286,50,80,65,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,,,,,,
9,Parnassius_apollo,Papilionidae,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,27.9,46,36.95,0.490,27.6,44,35.8,0.46,30,42,36,0.333,NA,NA,NA,NA,62,86,74,0.324,65,95,80,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,,,,,,
10,Archon_apollinus,Papilionidae,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27,30,28.5,0.105,NA,NA,NA,NA,54,60,57,0.105,54,60,57,0.105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,0,0,,,,,,
