ID,Taxon,Family,WIn,FMo_Average
1,Iphiclides_podalirius,Papilionidae,0.118,6
2,Iphiclides_feisthamelii,Papilionidae,0.120,7.5
3,Papilio_alexanor,Papilionidae,0.083,4
4,Papilio_machaon,Papilionidae,0.116,6.5
5,Papilio_hospiton,Papilionidae,0.102,3
6,Papilio_saharae,Papilionidae,0.088,9
7,Parnassius_mnemosyne,Papilionidae,0.068,3
8,Parnassius_phoebus,Papilionidae,0.086,3
9,Parnassius_apollo,Papilionidae,0.117,4.5
10,Archon_apollinus,Papilionidae,0.056,3.5
11,Zerynthia_cerisy,Papilionidae,0.057,5
12,Zerynthia_cretica,Papilionidae,0.043,4.5
13,Zerynthia_caucasica,Papilionidae,0.057,4
14,Zerynthia_rumina,Papilionidae,0.025,5
15,Zerynthia_polyxena,Papilionidae,0.031,4
16,Zerynthia_cassandra,Papilionidae,0.026,4
17,Heteropterus_morpheus,Hesperiidae,-0.025,3
18,Carterocephalus_silvicola,Hesperiidae,-0.055,2.5
19,Carterocephalus_palaemon,Hesperiidae,-0.044,2.5
20,Pelopidas_thrax,Hesperiidae,-0.023,10
21,Borbo_borbonica,Hesperiidae,-0.035,4.5
22,Gegenes_pumilio,Hesperiidae,-0.037,9
23,Gegenes_nostrodamus,Hesperiidae,-0.031,9
24,Ochlodes_sylvanus,Hesperiidae,-0.035,4
25,Hesperia_comma,Hesperiidae,-0.036,3.5
26,Thymelicus_christi,Hesperiidae,-0.056,9
27,Thymelicus_acteon,Hesperiidae,-0.056,4.5
28,Thymelicus_hamza,Hesperiidae,-0.057,2.5
29,Thymelicus_hyrax,Hesperiidae,-0.031,3
30,Thymelicus_sylvestris,Hesperiidae,-0.045,4.5
31,Thymelicus_lineola,Hesperiidae,-0.052,3.5
32,Spialia_phlomidis,Hesperiidae,-0.039,4
33,Spialia_sertorius,Hesperiidae,-0.059,7
34,Spialia_therapne,Hesperiidae,-0.061,5
35,Spialia_rosae,Hesperiidae,-0.058,5.5
36,Spialia_orbifer,Hesperiidae,-0.054,5.5
37,Carcharodus_tripolinus,Hesperiidae,-0.036,7
38,Carcharodus_alceae,Hesperiidae,-0.041,8
39,Muschampia_cribrellum,Hesperiidae,-0.038,3
40,Muschampia_proto,Hesperiidae,-0.033,4
41,Muschampia_tessellum,Hesperiidae,-0.016,4.5
42,Muschampia_mohammed,Hesperiidae,-0.034,7
43,Carcharodus_lavatherae,Hesperiidae,-0.032,4
44,Carcharodus_orientalis,Hesperiidae,-0.038,4.5
45,Carcharodus_floccifera,Hesperiidae,-0.035,4.5
46,Carcharodus_stauderi,Hesperiidae,-0.043,8
47,Carcharodus_baeticus,Hesperiidae,-0.043,4
48,Erynnis_tages,Hesperiidae,-0.042,4
49,Erynnis_marloyi,Hesperiidae,-0.035,6
50,Pyrgus_malvoides,Hesperiidae,-0.061,3.5
51,Pyrgus_malvae,Hesperiidae,-0.058,5
52,Pyrgus_carthami,Hesperiidae,-0.031,5
53,Pyrgus_sidae,Hesperiidae,-0.028,4
54,Pyrgus_centaureae,Hesperiidae,-0.043,2.5
55,Pyrgus_cacaliae,Hesperiidae,-0.039,2.5
56,Pyrgus_andromedae,Hesperiidae,-0.037,3
57,Pyrgus_serratulae,Hesperiidae,-0.045,3
58,Pyrgus_armoricanus,Hesperiidae,-0.049,5.5
59,Pyrgus_alveus,Hesperiidae,-0.038,3.5
60,Pyrgus_warrenensis,Hesperiidae,-0.056,2
61,Pyrgus_foulquieri,Hesperiidae,-0.037,3
62,Pyrgus_onopordi,Hesperiidae,-0.052,7
63,Pyrgus_carlinae,Hesperiidae,-0.044,2
64,Pyrgus_cirsii,Hesperiidae,-0.045,3
65,Pyrgus_cinarae,Hesperiidae,-0.036,4
66,Leptidea_duponcheli,Pieridae,-0.008,5
67,Leptidea_morsei,Pieridae,0.010,5
68,Leptidea_juvernica,Pieridae,0.008,3
